"","N","Model","Time"
"1","40","EII","0.00698494911193848"
"2","80","EII","0.0209100246429443"
"3","160","EII","0.0249330997467041"
"4","320","EII","0.0538561344146729"
"5","40","VII","0.0059819221496582"
"6","80","VII","0.010969877243042"
"7","160","VII","0.0339069366455078"
"8","320","VII","0.0708110332489014"
"9","40","EEI","0.00997495651245117"
"10","80","EEI","0.0149600505828857"
"11","160","EEI","0.0259311199188232"
"12","320","EEI","0.0548529624938965"
"13","40","VEI","0.0109710693359375"
"14","80","VEI","0.0139639377593994"
"15","160","VEI","0.023935079574585"
"16","320","VEI","0.0598409175872803"
"17","40","EVI","0.0119669437408447"
"18","80","EVI","0.0408909320831299"
"19","160","EVI","0.0309171676635742"
"20","320","EVI","0.0628299713134766"
"21","40","VVI","0.00997400283813477"
"22","80","VVI","0.015955924987793"
"23","160","VVI","0.0319161415100098"
"24","320","VVI","0.0747990608215332"
"25","40","EEE","0.0119669437408447"
"26","80","EEE","0.0209441184997559"
"27","160","EEE","0.0349068641662598"
"28","320","EEE","0.0728049278259277"
"29","40","EVE","0.0289251804351807"
"30","80","EVE","0.0498650074005127"
"31","160","EVE","0.124666213989258"
"32","320","EVE","0.103722095489502"
"33","40","VEE","0.0189499855041504"
"34","80","VEE","0.0289230346679688"
"35","160","VEE","0.0548539161682129"
"36","320","VEE","0.100729942321777"
"37","40","VVE","0.021942138671875"
"38","80","VVE","0.0538539886474609"
"39","160","VVE","0.123667001724243"
"40","320","VVE","0.0897588729858398"
"41","40","EEV","0.0159561634063721"
"42","80","EEV","0.0199439525604248"
"43","160","EEV","0.0538558959960938"
"44","320","EEV","0.109705924987793"
"45","40","VEV","0.0159561634063721"
"46","80","VEV","0.0239360332489014"
"47","160","VEV","0.0488691329956055"
"48","320","VEV","0.10870885848999"
"49","40","EVV","0.0179519653320312"
"50","80","EVV","0.0199470520019531"
"51","160","EVV","0.0448808670043945"
"52","320","EVV","0.132643938064575"
"53","40","VVV","0.0498669147491455"
"54","80","VVV","0.0159571170806885"
"55","160","VVV","0.0488700866699219"
"56","320","VVV","0.0987350940704346"
