,N,Covariance_Type,Time
0,40,full,1.370270013809204
1,80,full,1.3122169971466064
2,160,full,1.4064850807189941
3,320,full,1.5762748718261719
4,640,full,1.7339050769805908
5,1280,full,2.0461997985839844
6,2560,full,2.9096884727478027
7,5120,full,4.894204378128052
8,10240,full,12.165675163269043
9,20480,full,19.128620386123657
10,40960,full,40.896944522857666
11,81920,full,93.39680981636047
12,163840,full,205.1474483013153
13,327680,full,427.4930989742279
14,40,tied,0.8942282199859619
15,80,tied,1.0219886302947998
16,160,tied,1.0044538974761963
17,320,tied,1.1677329540252686
18,640,tied,1.4632513523101807
19,1280,tied,1.8065307140350342
20,2560,tied,2.610867977142334
21,5120,tied,4.4264421463012695
22,10240,tied,7.698068857192993
23,20480,tied,15.604978561401367
24,40960,tied,36.34628105163574
25,81920,tied,84.53405261039734
26,163840,tied,184.99120616912842
27,327680,tied,389.6035921573639
28,40,diag,0.8016231060028076
29,80,diag,0.9236242771148682
30,160,diag,0.9458045959472656
31,320,diag,1.0269877910614014
32,640,diag,1.2989585399627686
33,1280,diag,1.5551085472106934
34,2560,diag,2.234987497329712
35,5120,diag,3.7256057262420654
36,10240,diag,6.558535814285278
37,20480,diag,12.172150611877441
38,40960,diag,31.33859133720398
39,81920,diag,68.93197178840637
40,163840,diag,150.60951352119446
41,327680,diag,316.48563051223755
42,40,spherical,0.8694477081298828
43,80,spherical,0.9084992408752441
44,160,spherical,0.9162263870239258
45,320,spherical,1.0710511207580566
46,640,spherical,1.3316659927368164
47,1280,spherical,1.6159229278564453
48,2560,spherical,2.3622629642486572
49,5120,spherical,3.963590145111084
50,10240,spherical,6.841003179550171
51,20480,spherical,12.858585357666016
52,40960,spherical,33.360833168029785
53,81920,spherical,70.11392378807068
54,163840,spherical,158.96897387504578
55,327680,spherical,342.0036201477051
